id,nombre,horasTrabajadas,sueldo
1,Delphine,136,25440
2,Marlane,151,29040
3,Sayre,191,44450
4,Valli,171,37450
5,Laurena,212,51800
6,Hamil,128,23520
7,Ettie,164,35000
8,Andreas,132,24480
9,Dita,80,14400
10,Euell,99,17820
11,Karina,185,42350
12,Carey,209,50750
13,Haze,88,15840
14,Averil,99,17820
15,Giuditta,121,21840
16,Hans,240,61600
17,Raffaello,84,15120
18,Franky,133,24720
19,Leicester,167,36050
20,Samantha,226,56700
21,Elora,144,27360
22,Binny,84,15120
23,Trudy,198,46900
24,Shae,104,18720
25,Bordy,96,17280
26,Mechelle,120,21600
27,Lucita,210,51100
28,Michele,88,15840
29,Aubry,157,30480
30,Ginnifer,105,18900
31,Pace,132,24480
32,Coral,81,14580
33,Cozmo,167,36050
34,Archibaldo,123,22320
35,Eddy,136,25440
36,Helen-elizabeth,103,18540
37,Hilario,195,45850
38,Helge,176,39200
39,Gardener,222,55300
40,Gustavus,142,26880
41,Anderea,80,14400
42,Demetria,108,19440
43,Corabella,200,47600
44,Agathe,207,50050
45,Egor,83,14940
46,Murvyn,194,45500
47,Morten,95,17100
48,Marlena,233,59150
49,Franzen,83,14940
50,Lurette,195,45850
51,Law,209,50750
52,Stevie,238,60900
53,Taylor,239,61250
54,Olin,138,25920
55,Blondy,195,45850
56,Judas,120,21600
57,Aggy,116,20880
58,Brendin,176,39200
59,Joceline,142,26880
60,Cymbre,221,54950
61,Barbabra,229,57750
62,Rowan,110,19800
63,Hedda,198,46900
64,Nev,226,56700
65,Sam,233,59150
66,Morganne,194,45500
67,Deidre,95,17100
68,Laureen,143,27120
69,Crissy,195,45850
70,Wilone,102,18360
71,Milzie,92,16560
72,Dorisa,100,18000
73,Judie,152,29280
74,Lucas,182,41300
75,Kellen,206,49700
76,Ferdinande,175,38850
77,Kilian,174,38500
78,Bret,161,33950
79,Luca,164,35000
80,Cathe,146,27840
81,Zebedee,97,17460
82,Ediva,132,24480
83,Spence,144,27360
84,Jo ann,131,24240
85,Benetta,111,19980
86,Papageno,96,17280
87,Belvia,127,23280
88,Lynnett,140,26400
89,Launce,99,17820
90,Dougie,214,52500
91,Jamaal,144,27360
92,Alverta,155,30000
93,Marcelia,187,43050
94,Grace,131,24240
95,Kathi,189,43750
96,Raoul,197,46550
97,Bria,165,35350
98,Currey,202,48300
99,Daphene,142,26880
100,Will,130,24000
101,Nicko,94,16920
102,Bruce,83,14940
103,Brit,210,51100
104,Hyacinthe,106,19080
105,Andras,140,26400
106,Samara,221,54950
107,Germaine,86,15480
108,Demott,196,46200
109,Odo,228,57400
110,Chrotoem,116,20880
111,Hadleigh,110,19800
112,Adoree,193,45150
113,Whittaker,232,58800
114,Leodora,113,20340
115,Louisette,95,17100
116,Merna,99,17820
117,Sydel,187,43050
118,Jennine,229,57750
119,Tabbie,185,42350
120,June,202,48300
121,Pembroke,106,19080
122,Suzette,135,25200
123,Joete,192,44800
124,Adriena,200,47600
125,Lana,178,39900
126,Lyn,105,18900
127,Dulce,144,27360
128,North,220,54600
129,Bette,147,28080
130,Emmi,226,56700
131,Meier,152,29280
132,Joelly,195,45850
133,Marv,106,19080
134,Jasen,210,51100
135,Merilee,206,49700
136,Ollie,122,22080
137,Sherwood,189,43750
138,Gilligan,123,22320
139,Bibbie,217,53550
140,Mag,150,28800
141,Lettie,167,36050
142,Yelena,107,19260
143,Dorie,166,35700
144,Wyndham,135,25200
145,Gwenette,142,26880
146,Benita,132,24480
147,Patience,100,18000
148,Caryl,224,56000
149,Edlin,162,34300
150,Blake,162,34300
151,Durant,91,16380
152,Janene,216,53200
153,Krissy,171,37450
154,Monica,235,59850
155,Janessa,194,45500
156,Herb,81,14580
157,Fred,112,20160
158,Odille,175,38850
159,Annissa,133,24720
160,Electra,202,48300
161,Brigit,166,35700
162,Martyn,174,38500
163,Bari,230,58100
164,Ralph,88,15840
165,Katheryn,223,55650
166,Norma,107,19260
167,Sayer,168,36400
168,Alix,105,18900
169,Laurie,86,15480
170,Isa,165,35350
171,Humbert,239,61250
172,Emmy,80,14400
173,Redford,127,23280
174,Sabina,166,35700
175,Lemar,123,22320
176,Ranice,104,18720
177,Robyn,103,18540
178,Rosalinda,114,20520
179,Gordon,109,19620
180,Shanda,154,29760
181,Alvan,169,36750
182,Rae,99,17820
183,Elfrida,239,61250
184,Vinny,118,21240
185,Meredith,184,42000
186,Eadmund,186,42700
187,Cazzie,222,55300
188,Colman,105,18900
189,Jojo,98,17640
190,Ives,200,47600
191,Brett,142,26880
192,Tedie,171,37450
193,Otho,107,19260
194,Ritchie,153,29520
195,Eddy,94,16920
196,Kat,131,24240
197,Dorise,217,53550
198,Alyss,80,14400
199,Lorelei,191,44450
200,Pasquale,240,61600
201,Yvonne,190,44100
202,Kilian,152,29280
203,Kacie,85,15300
204,Rube,144,27360
205,Elita,95,17100
206,Tana,114,20520
207,Pansie,118,21240
208,Iormina,131,24240
209,Juliet,199,47250
210,Ida,207,50050
211,Romona,216,53200
212,Beaufort,218,53900
213,Bern,155,30000
214,Joana,205,49350
215,Shay,201,47950
216,Ximenez,170,37100
217,Sydel,228,57400
218,Ethelda,124,22560
219,Cyrus,225,56350
220,Gerardo,168,36400
221,Barnabas,159,30960
222,Winona,175,38850
223,Hanni,209,50750
224,Lilah,166,35700
225,Tallou,194,45500
226,Riki,138,25920
227,Krystle,147,28080
228,Tracy,177,39550
229,Estella,124,22560
230,Nessy,158,30720
231,Maighdiln,236,60200
232,Hadleigh,158,30720
233,Amalita,186,42700
234,Jordan,190,44100
235,Claudius,146,27840
236,Bonni,135,25200
237,Rhetta,98,17640
238,Allister,90,16200
239,Chariot,224,56000
240,Wolfgang,204,49000
241,Bibbye,144,27360
242,Marje,168,36400
243,Conway,158,30720
244,Jenn,92,16560
245,Berty,194,45500
246,Edwin,228,57400
247,Theodoric,187,43050
248,Eirena,128,23520
249,Michele,181,40950
250,Scotti,211,51450
251,Teodora,153,29520
252,Tersina,105,18900
253,Elisha,142,26880
254,Babb,181,40950
255,Raleigh,130,24000
256,Earvin,211,51450
257,Philippe,165,35350
258,Eran,186,42700
259,Casey,153,29520
260,Celestyn,224,56000
261,Lauritz,116,20880
262,Obie,162,34300
263,Rhona,226,56700
264,Norbert,175,38850
265,Yank,94,16920
266,Rafaelita,113,20340
267,Sig,83,14940
268,Anastasia,98,17640
269,Jonah,222,55300
270,Morgen,213,52150
271,Gwenore,240,61600
272,Marven,96,17280
273,Jasmine,213,52150
274,Kassia,195,45850
275,Fidelity,227,57050
276,Leslie,230,58100
277,Brooks,83,14940
278,Julio,219,54250
279,Ezri,238,60900
280,Rana,130,24000
281,Ettore,191,44450
282,Felice,203,48650
283,Georgena,156,30240
284,Alli,192,44800
285,Demott,236,60200
286,Augustus,225,56350
287,Madelaine,168,36400
288,Nicola,135,25200
289,Bearnard,120,21600
290,Hannis,147,28080
291,Loise,170,37100
292,Walker,84,15120
293,Kissiah,136,25440
294,Ronna,210,51100
295,Shirline,103,18540
296,Florella,146,27840
297,Wyn,207,50050
298,Rosabella,104,18720
299,Rodi,235,59850
300,Vasilis,214,52500
301,Roseanne,94,16920
302,Archibaldo,230,58100
303,Pamella,80,14400
304,Bonnibelle,167,36050
305,Wesley,80,14400
306,Carin,167,36050
307,Derril,102,18360
308,Land,197,46550
309,Angele,213,52150
310,Katrina,158,30720
311,Marcella,162,34300
312,Petronia,146,27840
313,Sloan,135,25200
314,Louie,212,51800
315,Sandro,216,53200
316,Alyse,214,52500
317,Boris,148,28320
318,Rikki,221,54950
319,Johannah,218,53900
320,Valle,150,28800
321,Lelia,150,28800
322,Saree,201,47950
323,Orelie,222,55300
324,Netta,92,16560
325,Henry,212,51800
326,Gaven,199,47250
327,Veronica,85,15300
328,Betti,108,19440
329,Amelie,179,40250
330,Forbes,155,30000
331,Teddy,231,58450
332,Leta,112,20160
333,Abner,119,21420
334,Reta,172,37800
335,Caprice,221,54950
336,Harris,117,21060
337,Curran,227,57050
338,Chev,167,36050
339,Ally,141,26640
340,Alisander,115,20700
341,Stearne,147,28080
342,Hunter,146,27840
343,Aubree,220,54600
344,Allin,197,46550
345,Donalt,152,29280
346,Dannie,166,35700
347,Delano,116,20880
348,Fee,114,20520
349,Sigismund,220,54600
350,Sandy,178,39900
351,Helena,126,23040
352,Rocky,115,20700
353,Ray,112,20160
354,Eyde,106,19080
355,Terry,137,25680
356,Ardra,163,34650
357,Melicent,218,53900
358,Dorie,204,49000
359,Nollie,97,17460
360,Dilan,104,18720
361,Myrtle,228,57400
362,Arabel,217,53550
363,Christos,94,16920
364,Leticia,131,24240
365,Veronika,226,56700
366,Blithe,199,47250
367,Chad,100,18000
368,Leonanie,206,49700
369,Doralin,227,57050
370,Pen,96,17280
371,Nadiya,155,30000
372,Arabela,100,18000
373,Kerrie,168,36400
374,Colver,227,57050
375,Taddeusz,139,26160
376,Chic,151,29040
377,Dorisa,223,55650
378,Mirelle,232,58800
379,Channa,144,27360
380,Wandis,183,41650
381,Rebeka,114,20520
382,Gran,198,46900
383,Audi,137,25680
384,Tessy,177,39550
385,Ignacius,216,53200
386,Manuel,104,18720
387,Kerk,193,45150
388,Maxwell,227,57050
389,Carmelle,165,35350
390,Galvin,92,16560
391,Courtney,222,55300
392,Karney,132,24480
393,Tris,190,44100
394,Andie,165,35350
395,Tasia,105,18900
396,Aryn,218,53900
397,Ninetta,212,51800
398,Vick,109,19620
399,Laurice,216,53200
400,Junette,93,16740
401,Cherin,210,51100
402,Phillis,148,28320
403,Kyla,157,30480
404,Carmina,178,39900
405,El,125,22800
406,Janetta,116,20880
407,Guillema,166,35700
408,Sara,235,59850
409,Marcella,207,50050
410,Beaufort,136,25440
411,Torre,87,15660
412,Cammy,127,23280
413,Brose,233,59150
414,Stepha,148,28320
415,Margalit,200,47600
416,Duffie,94,16920
417,Rowe,208,50400
418,Demetri,107,19260
419,Packston,226,56700
420,Madison,108,19440
421,Tiphani,164,35000
422,Wendall,188,43400
423,Tiphany,180,40600
424,Sharleen,206,49700
425,Virgina,166,35700
426,Trevor,202,48300
427,Lynea,233,59150
428,Tarra,121,21840
429,Liam,127,23280
430,Ania,129,23760
431,Arlan,82,14760
432,Kiri,156,30240
433,Ferdinanda,227,57050
434,Melisande,190,44100
435,Donelle,120,21600
436,Ignace,181,40950
437,Josh,127,23280
438,Kevyn,238,60900
439,Benny,233,59150
440,Walton,134,24960
441,Josias,172,37800
442,Fiorenze,225,56350
443,Pierson,152,29280
444,Romonda,146,27840
445,Abraham,141,26640
446,Zelda,108,19440
447,Cointon,180,40600
448,Leonid,125,22800
449,Gal,194,45500
450,Andrei,152,29280
451,Melamie,114,20520
452,Farrand,142,26880
453,Alfy,207,50050
454,Simonne,151,29040
455,Chauncey,87,15660
456,Austina,224,56000
457,Goldia,239,61250
458,Osborne,163,34650
459,Ertha,115,20700
460,Francine,170,37100
461,Hill,108,19440
462,Charmaine,232,58800
463,Eimile,90,16200
464,Theo,113,20340
465,Dimitri,203,48650
466,Seamus,132,24480
467,Dido,191,44450
468,Gerladina,117,21060
469,Des,177,39550
470,Horace,120,21600
471,Calida,138,25920
472,Murielle,224,56000
473,Rosamund,147,28080
474,Sorcha,93,16740
475,Shandee,102,18360
476,Tildi,206,49700
477,Oren,135,25200
478,Chrysler,100,18000
479,Rolando,159,30960
480,Renell,133,24720
481,Brigitte,203,48650
482,Lu,210,51100
483,Simonette,132,24480
484,Rockey,189,43750
485,Hertha,148,28320
486,Tarrah,82,14760
487,Mikey,233,59150
488,Carlin,157,30480
489,Filmer,131,24240
490,Leigh,126,23040
491,Amil,145,27600
492,Earlie,104,18720
493,Gianna,144,27360
494,Bentley,109,19620
495,Horatia,106,19080
496,Rosamund,101,18180
497,Jeralee,134,24960
498,Alec,170,37100
499,Bary,191,44450
500,Bev,194,45500
501,Shauna,176,39200
502,Del,105,18900
503,Anthiathia,91,16380
504,Brandie,180,40600
505,Hollyanne,120,21600
506,Rowen,104,18720
507,Juli,192,44800
508,Ardra,207,50050
509,Elton,173,38150
510,Elmira,216,53200
511,Nara,179,40250
512,Wallas,228,57400
513,Scotty,223,55650
514,Tabb,171,37450
515,Yancey,209,50750
516,Homer,209,50750
517,Abbe,166,35700
518,Goran,136,25440
519,Tally,167,36050
520,Katinka,178,39900
521,Sigfrid,109,19620
522,Grantham,141,26640
523,Briano,146,27840
524,Ronica,186,42700
525,Emlen,227,57050
526,Annabel,215,52850
527,Waldo,215,52850
528,Cad,157,30480
529,Karlen,200,47600
530,Minni,110,19800
531,Nananne,156,30240
532,Gary,136,25440
533,Jefferey,153,29520
534,Marlo,223,55650
535,Franny,123,22320
536,Danell,145,27600
537,Elysha,149,28560
538,Claudius,106,19080
539,Dilly,178,39900
540,Dyan,91,16380
541,Perry,188,43400
542,Pace,233,59150
543,Dalila,127,23280
544,Skipp,235,59850
545,Gal,229,57750
546,Sigismund,106,19080
547,Derick,223,55650
548,Florenza,225,56350
549,Egbert,236,60200
550,Arliene,198,46900
551,Caren,179,40250
552,Ginger,84,15120
553,Morgan,127,23280
554,Angeli,109,19620
555,Wallache,100,18000
556,Alexandrina,206,49700
557,Mirabella,183,41650
558,Gamaliel,180,40600
559,Karisa,102,18360
560,Walker,191,44450
561,Art,186,42700
562,Juanita,139,26160
563,Lynsey,151,29040
564,Decca,202,48300
565,Margie,225,56350
566,Nils,137,25680
567,Ryan,169,36750
568,Quintina,113,20340
569,Karlik,122,22080
570,Care,204,49000
571,Athena,191,44450
572,Ansell,209,50750
573,Dugald,113,20340
574,Laraine,166,35700
575,Reggis,216,53200
576,Robert,101,18180
577,Cassi,209,50750
578,Kelly,184,42000
579,Efrem,154,29760
580,Gibb,161,33950
581,Cash,228,57400
582,Lew,157,30480
583,Ros,127,23280
584,Maximo,177,39550
585,Lynn,206,49700
586,Waring,131,24240
587,Zuzana,214,52500
588,Lombard,110,19800
589,Laurena,156,30240
590,Gwynne,116,20880
591,Carlie,206,49700
592,Darbie,145,27600
593,Fleurette,181,40950
594,Leilah,127,23280
595,Newton,111,19980
596,Esra,168,36400
597,Laurice,119,21420
598,Neala,218,53900
599,Archibald,100,18000
600,Meghan,187,43050
601,Gregoor,200,47600
602,Cassandry,120,21600
603,Rahel,223,55650
604,Chiquita,90,16200
605,Casey,221,54950
606,Georgina,159,30960
607,Axe,90,16200
608,Marline,236,60200
609,Matty,152,29280
610,Josias,114,20520
611,Ag,200,47600
612,Dannie,94,16920
613,Gusty,95,17100
614,Abraham,210,51100
615,Bernadette,212,51800
616,Farra,191,44450
617,Miner,113,20340
618,Layton,211,51450
619,Roderigo,215,52850
620,Karrie,150,28800
621,Eirena,85,15300
622,Tracee,80,14400
623,Normand,157,30480
624,Joan,226,56700
625,Evangeline,177,39550
626,Kristian,103,18540
627,Junina,192,44800
628,Thom,221,54950
629,Margy,215,52850
630,Thorn,117,21060
631,Jamie,130,24000
632,Flss,219,54250
633,Ad,141,26640
634,Jeanie,183,41650
635,Luigi,236,60200
636,Kory,206,49700
637,Chloette,146,27840
638,Dorolisa,107,19260
639,Thain,222,55300
640,Manya,189,43750
641,Otto,188,43400
642,Raynard,126,23040
643,Giulio,150,28800
644,Lambert,234,59500
645,Terese,107,19260
646,Nannette,146,27840
647,Reuben,203,48650
648,Biron,81,14580
649,Lynnette,207,50050
650,Irv,225,56350
651,Hammad,115,20700
652,Cilka,238,60900
653,Killian,86,15480
654,Bent,149,28560
655,Skippy,96,17280
656,Nil,117,21060
657,Jake,99,17820
658,Jordan,232,58800
659,Ange,99,17820
660,Yardley,127,23280
661,Rhonda,185,42350
662,Lisle,151,29040
663,Durand,125,22800
664,Nickie,163,34650
665,Louisa,224,56000
666,Alyssa,173,38150
667,Harman,112,20160
668,Annemarie,240,61600
669,Aryn,127,23280
670,Daniela,178,39900
671,Jania,191,44450
672,Mirabella,202,48300
673,Ashly,135,25200
674,Blake,199,47250
675,Kaycee,185,42350
676,Murray,146,27840
677,Aloin,110,19800
678,Carroll,203,48650
679,Randy,221,54950
680,Joyann,198,46900
681,Yale,202,48300
682,Abraham,220,54600
683,Othella,207,50050
684,Alanna,238,60900
685,Clevey,102,18360
686,Darb,201,47950
687,Eugenie,164,35000
688,Brunhilde,80,14400
689,Bernardine,166,35700
690,Pasquale,201,47950
691,Clarinda,95,17100
692,Elwyn,155,30000
693,Megan,207,50050
694,Chrisse,99,17820
695,Gennie,176,39200
696,Emmalee,216,53200
697,Adria,184,42000
698,Bliss,96,17280
699,Issy,132,24480
700,Phillida,203,48650
701,Hagen,104,18720
702,Jaine,135,25200
703,Bette,219,54250
704,Issy,222,55300
705,Bernardina,156,30240
706,Tate,185,42350
707,Madelon,171,37450
708,Amie,146,27840
709,Ninette,167,36050
710,Anneliese,80,14400
711,Rosanne,203,48650
712,Genvieve,151,29040
713,Noam,201,47950
714,Gracie,213,52150
715,Gunter,136,25440
716,Silvanus,125,22800
717,Johnath,168,36400
718,Clotilda,225,56350
719,Yvonne,126,23040
720,Colleen,169,36750
721,Avril,198,46900
722,Zechariah,155,30000
723,Angeli,155,30000
724,Cammy,87,15660
725,Donella,169,36750
726,Leone,240,61600
727,Rey,168,36400
728,Angel,151,29040
729,Ches,166,35700
730,Haley,122,22080
731,Vittoria,155,30000
732,Gratiana,128,23520
733,Randi,106,19080
734,Jodi,81,14580
735,Rosabella,198,46900
736,Lev,156,30240
737,Jennette,141,26640
738,Lin,234,59500
739,Maisie,159,30960
740,Georgi,109,19620
741,Obidiah,199,47250
742,Algernon,229,57750
743,Aurelia,133,24720
744,Elbertina,189,43750
745,Liana,93,16740
746,Babbie,226,56700
747,Hamlin,162,34300
748,Deana,218,53900
749,Lita,141,26640
750,Merrili,180,40600
751,Pammy,221,54950
752,Jenda,136,25440
753,Belva,182,41300
754,Madelon,234,59500
755,Homerus,210,51100
756,Luther,174,38500
757,Lulu,115,20700
758,Read,91,16380
759,Filmore,86,15480
760,Herrick,122,22080
761,Dolph,103,18540
762,Tedi,228,57400
763,Rosanna,139,26160
764,Jo,102,18360
765,Brandea,156,30240
766,Brice,237,60550
767,Penny,163,34650
768,Janela,102,18360
769,Karyn,155,30000
770,Dalia,120,21600
771,Lizette,143,27120
772,Cacilia,154,29760
773,Ezequiel,150,28800
774,Corey,89,16020
775,Aurelea,229,57750
776,Joshia,220,54600
777,Karoly,212,51800
778,Gary,145,27600
779,Shelley,146,27840
780,Peirce,232,58800
781,Alis,155,30000
782,Marlowe,96,17280
783,Melisenda,105,18900
784,Gib,235,59850
785,Henry,215,52850
786,Ly,85,15300
787,Arlan,173,38150
788,Aleksandr,164,35000
789,Janina,152,29280
790,Yank,192,44800
791,Molli,81,14580
792,Shayna,224,56000
793,Roberto,207,50050
794,Pail,161,33950
795,Montgomery,157,30480
796,Brittne,114,20520
797,Fayth,221,54950
798,Vin,169,36750
799,Rhea,82,14760
800,Armando,216,53200
801,Hedvig,238,60900
802,Bili,152,29280
803,Lindsy,123,22320
804,Bartie,92,16560
805,Colver,203,48650
806,Brooks,185,42350
807,Glynn,172,37800
808,Gerardo,126,23040
809,Blaire,181,40950
810,Rees,206,49700
811,Eleanor,207,50050
812,Wilhelmine,148,28320
813,Gaelan,154,29760
814,Freddy,125,22800
815,Gwenny,208,50400
816,Wynnie,104,18720
817,Basilio,181,40950
818,Harland,131,24240
819,Esma,223,55650
820,Boothe,221,54950
821,Aleta,209,50750
822,Manon,160,31200
823,Sergeant,210,51100
824,Cordy,94,16920
825,Michail,135,25200
826,Aime,178,39900
827,Stanford,234,59500
828,Euell,134,24960
829,Gibb,152,29280
830,Natividad,88,15840
831,Shane,181,40950
832,Barbra,219,54250
833,Courtney,121,21840
834,Doug,209,50750
835,Alfons,167,36050
836,Bertine,95,17100
837,Winnie,224,56000
838,Ibrahim,212,51800
839,Forester,143,27120
840,Evelyn,226,56700
841,Juliann,102,18360
842,Sarah,90,16200
843,Berkly,108,19440
844,Stormy,208,50400
845,Harrie,129,23760
846,Cosmo,179,40250
847,Noe,97,17460
848,Giulio,96,17280
849,Quinn,176,39200
850,Frankie,117,21060
851,Parke,115,20700
852,Tamara,113,20340
853,Colas,99,17820
854,Karry,182,41300
855,Al,205,49350
856,Gilli,209,50750
857,Monah,160,31200
858,Brietta,172,37800
859,Chase,193,45150
860,Claribel,142,26880
861,Anthia,108,19440
862,Ray,233,59150
863,Jaclin,238,60900
864,Kathrine,204,49000
865,Drew,188,43400
866,Fidel,146,27840
867,Hansiain,116,20880
868,Hoyt,171,37450
869,Benni,84,15120
870,Frieda,226,56700
871,Tonie,146,27840
872,Tressa,159,30960
873,Murray,178,39900
874,Brett,192,44800
875,Ruby,225,56350
876,Maggi,220,54600
877,Marcos,238,60900
878,Cherye,179,40250
879,Tressa,162,34300
880,Mortimer,105,18900
881,Nettle,181,40950
882,Jesus,171,37450
883,Gay,158,30720
884,Arabelle,204,49000
885,Pablo,240,61600
886,Amelita,208,50400
887,Amil,123,22320
888,Shay,86,15480
889,Constantin,178,39900
890,Isidoro,158,30720
891,Philip,239,61250
892,Horst,205,49350
893,Jamal,237,60550
894,Tedda,188,43400
895,Winnie,182,41300
896,Haze,153,29520
897,Isadora,205,49350
898,Sidoney,158,30720
899,Yuri,82,14760
900,Spike,186,42700
901,Lorry,126,23040
902,Richmound,123,22320
903,Constancia,194,45500
904,Meghann,96,17280
905,Trude,136,25440
906,Reinald,102,18360
907,Cheston,181,40950
908,Godfry,196,46200
909,Edik,108,19440
